num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
6,3,0.8,1000,MCMC,5,1,10
6,3,0.8,500,MCMC,1,1,9
6,3,0.8,100,MCMC,5,1,9
6,2,0.8,1000,MCMC,0,0,5
6,2,0.8,500,MCMC,2,0,6
6,2,0.8,100,MCMC,2,0,8
6,3,0.6,1000,MCMC,9,4,13
6,3,0.6,500,MCMC,9,4,12
6,3,0.6,100,MCMC,3,0,7
6,2,0.6,1000,MCMC,3,0,6
6,2,0.6,500,MCMC,6,0,8
6,2,0.6,100,MCMC,10,2,10
6,3,0.4,1000,MCMC,2,0,3
6,3,0.4,500,MCMC,3,0,3
6,3,0.4,100,MCMC,4,1,5
6,2,0.4,1000,MCMC,1,1,4
6,2,0.4,500,MCMC,0,0,2
6,2,0.4,100,MCMC,4,0,5
6,3,0.2,1000,MCMC,5,0,5
6,3,0.2,500,MCMC,2,0,2
6,3,0.2,100,MCMC,4,0,4
6,2,0.2,1000,MCMC,5,0,6
6,2,0.2,500,MCMC,2,0,2
6,2,0.2,100,MCMC,3,0,3
4,2,0.8,1000,MCMC,2,0,2
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,5,0,5
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,2,1,3
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,3
4,2,0.4,500,MCMC,0,0,2
4,2,0.4,100,MCMC,1,0,3
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,3,0,3
4,2,0.2,1000,MCMC,3,0,3
4,2,0.2,500,MCMC,2,0,2
4,2,0.2,100,MCMC,1,0,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,1
4,2,0.2,100,MCMC,0,0,1
