num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
6,2,0.4,500,MCMC,4,1,7
6,2,0.4,100,MCMC,2,1,3
6,3,0.2,1000,MCMC,2,0,2
6,3,0.2,500,MCMC,2,4,2
6,3,0.2,100,MCMC,2,0,2
6,2,0.2,1000,MCMC,1,1,3
6,2,0.2,500,MCMC,3,0,5
6,2,0.2,100,MCMC,0,0,2
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.8,1000,MCMC,1,0,2
4,2,0.8,500,MCMC,2,0,2
4,2,0.8,100,MCMC,3,0,3
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,2,2,2
4,2,0.6,1000,MCMC,5,2,5
4,2,0.6,500,MCMC,3,0,3
4,2,0.6,100,MCMC,6,1,6
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,2,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,3,1,3
4,2,0.4,100,MCMC,2,0,2
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,1,0
6,3,0.8,1000,MCMC,8,3,15
6,3,0.8,500,MCMC,13,4,16
6,3,0.8,100,MCMC,11,3,14
6,2,0.8,1000,MCMC,3,3,9
6,2,0.8,500,MCMC,5,2,11
6,2,0.8,100,MCMC,20,3,20
6,3,0.6,1000,MCMC,1,0,5
6,3,0.6,500,MCMC,2,0,5
6,3,0.6,100,MCMC,3,1,7
6,2,0.6,1000,MCMC,0,0,1
6,2,0.6,500,MCMC,0,0,1
6,2,0.6,100,MCMC,6,1,7
6,3,0.4,1000,MCMC,1,1,1
6,3,0.4,500,MCMC,0,1,0
6,3,0.4,100,MCMC,1,2,2
6,2,0.4,1000,MCMC,0,1,7
6,2,0.4,500,MCMC,5,0,9
6,2,0.4,100,MCMC,5,0,8
6,3,0.2,1000,MCMC,3,1,4
6,3,0.2,500,MCMC,1,1,2
6,3,0.2,100,MCMC,1,2,2
6,2,0.2,1000,MCMC,3,2,5
6,2,0.2,500,MCMC,2,0,2
6,2,0.2,100,MCMC,6,2,6
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,1
4,2,0.8,1000,MCMC,0,0,1
4,2,0.8,500,MCMC,3,0,3
4,2,0.8,100,MCMC,4,1,4
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,1,1,1
4,2,0.6,1000,MCMC,2,0,2
4,2,0.6,500,MCMC,2,0,2
4,2,0.6,100,MCMC,4,0,4
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,1
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,1,0
6,3,0.8,1000,MCMC,1,1,7
6,3,0.8,500,MCMC,12,2,14
6,3,0.8,100,MCMC,10,2,11
6,2,0.8,1000,MCMC,3,2,10
6,2,0.8,500,MCMC,1,1,9
6,2,0.8,100,MCMC,4,2,8
6,3,0.6,1000,MCMC,3,2,7
6,3,0.6,500,MCMC,2,2,6
6,3,0.6,100,MCMC,6,2,9
6,2,0.6,1000,MCMC,4,2,5
6,2,0.6,500,MCMC,1,2,4
6,2,0.6,100,MCMC,0,2,3
6,3,0.4,1000,MCMC,3,1,3
6,3,0.4,500,MCMC,1,0,2
6,3,0.4,100,MCMC,5,2,5
6,2,0.4,1000,MCMC,2,2,4
6,2,0.4,500,MCMC,9,2,9
6,2,0.4,100,MCMC,9,2,9
6,3,0.2,1000,MCMC,1,1,2
6,3,0.2,500,MCMC,2,1,3
6,3,0.2,100,MCMC,2,1,3
6,2,0.2,1000,MCMC,1,2,1
6,2,0.2,500,MCMC,1,0,1
6,2,0.2,100,MCMC,2,3,2
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.8,1000,MCMC,7,2,7
4,2,0.8,500,MCMC,7,2,7
4,2,0.8,100,MCMC,7,2,7
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,0,1,0
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,3,1,3
4,2,0.6,100,MCMC,4,0,4
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,1,0,1
4,2,0.4,100,MCMC,1,0,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,4,0,4
4,2,0.2,1000,MCMC,0,1,0
4,2,0.2,500,MCMC,0,1,0
4,2,0.2,100,MCMC,0,1,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,5,0,10
6,3,0.8,500,MCMC,12,1,14
6,3,0.8,100,MCMC,14,0,15
6,2,0.8,1000,MCMC,1,1,8
6,2,0.8,500,MCMC,3,2,11
6,2,0.8,100,MCMC,2,0,5
6,3,0.6,1000,MCMC,2,0,4
6,3,0.6,500,MCMC,1,1,5
6,3,0.6,100,MCMC,2,2,4
6,2,0.6,1000,MCMC,6,0,8
6,2,0.6,500,MCMC,7,0,10
6,2,0.6,100,MCMC,11,2,12
6,3,0.4,1000,MCMC,3,0,6
6,3,0.4,500,MCMC,2,1,6
6,3,0.4,100,MCMC,7,3,9
6,2,0.4,1000,MCMC,4,3,6
6,2,0.4,500,MCMC,6,2,8
6,2,0.4,100,MCMC,5,1,6
6,3,0.2,1000,MCMC,3,1,3
6,3,0.2,500,MCMC,0,1,0
6,3,0.2,100,MCMC,2,1,2
6,2,0.2,1000,MCMC,2,0,2
6,2,0.2,500,MCMC,1,2,3
6,2,0.2,100,MCMC,1,1,1
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,2,1,2
4,2,0.6,1000,MCMC,0,0,1
4,2,0.6,500,MCMC,0,0,0
4,2,0.6,100,MCMC,3,1,3
4,2,0.6,1000,MCMC,0,0,0
4,2,0.6,500,MCMC,0,0,1
4,2,0.6,100,MCMC,0,0,1
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.4,1000,MCMC,0,0,0
4,2,0.4,500,MCMC,0,0,0
4,2,0.4,100,MCMC,0,0,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,1,0
4,2,0.2,100,MCMC,0,2,0
4,2,0.2,1000,MCMC,0,0,0
4,2,0.2,500,MCMC,0,0,0
4,2,0.2,100,MCMC,0,0,0
6,3,0.8,1000,MCMC,1,0,9
6,3,0.8,500,MCMC,2,0,9
6,3,0.8,100,MCMC,4,0,9
6,2,0.8,1000,MCMC,2,0,7
6,2,0.8,500,MCMC,2,0,7
6,2,0.8,100,MCMC,8,3,10
6,3,0.6,1000,MCMC,2,1,5
6,3,0.6,500,MCMC,5,3,9
6,3,0.6,100,MCMC,10,3,12
6,2,0.6,1000,MCMC,7,1,8
6,2,0.6,500,MCMC,9,2,9
6,2,0.6,100,MCMC,7,0,7
6,3,0.4,1000,MCMC,1,1,1
6,3,0.4,500,MCMC,0,1,0
6,3,0.4,100,MCMC,2,1,3
6,2,0.4,1000,MCMC,0,0,3
6,2,0.4,500,MCMC,4,1,4
6,2,0.4,100,MCMC,3,0,4
6,3,0.2,1000,MCMC,1,0,1
6,3,0.2,500,MCMC,0,3,0
6,3,0.2,100,MCMC,1,0,1
6,2,0.2,1000,MCMC,1,0,2
6,2,0.2,500,MCMC,2,1,2
6,2,0.2,100,MCMC,4,2,5
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,1,0
4,2,0.8,100,MCMC,4,0,4
4,2,0.8,1000,MCMC,0,0,0
4,2,0.8,500,MCMC,0,0,0
4,2,0.8,100,MCMC,0,0,0
4,2,0.6,1000,MCMC,8,2,8
4,2,0.6,500,MCMC,3,0,4
